date_accessed,source_name,title,url,reason,body_preview
2026-05-12 20:48,CyberScoop,"Lawmakers ponder terrorism designations, homicide charges over hospital ransomware attacks",https://cyberscoop.com/lawmakers-ponder-terrorism-designations-homicide-charges-over-hospital-ransomware-attacks/,"Lawmakers at a hearing explored ways to beef up punishments for ransomware attacks against hospitals, possibly by labeling them as more severe crimes. One proposal floated at the House Homeland Security Committee hearing would treat ransomware attacks as terrorism.","Lawmakers at a hearing Tuesday explored ways to beef up punishments for ransomware attacks against hospitals, possibly by labeling them as more severe crimes. One proposal floated at the House Homeland Security Committee hearing, to treat ransomware "
2026-05-12 20:48,CyberScoop,HHS updates a free risk tool to help hospitals size up their cybersecurity exposure,https://cyberscoop.com/hhs-aspr-cybersecurity-risc-toolkit-update/,"The Department of Health and Human Services unveiled a tool to help health care facilities assess their cybersecurity risks, but it does not describe a confirmed cyberattack or operational disruption at a named healthcare entity.","The Department of Health and Human Services unveiled a tool Thursday to help health care facilities assess their cybersecurity risks, elevating the emphasis on those threats to the kind produced by weather conditions and other dangers. The assistance"
2026-05-12 20:48,CyberScoop,Senate moves one step closer to passing health care cyber reforms,https://cyberscoop.com/senate-passes-health-care-cyber-reforms-cassidy/,"The Senate is advancing legislation to overhaul cybersecurity practices at the Department of Health and Human Services, with a focus on addressing third-party risks in the healthcare sector.","A key Senate Committee moved to advance legislation that would overhaul cybersecurity practices at the Department of Health and Human Services. The bipartisan Health Care Cybersecurity and Resiliency Act sailed through the Senate Health, Education an"
2026-05-12 20:48,CyberScoop,HHS ASPR’s Charlee Hess on the urgency of cyber hygiene in healthcare,https://cyberscoop.com/video/hhs-asprs-charlee-hess-on-the-urgency-of-cyber-hygiene-in-healthcare/,"Charlee Hess discusses the critical threat of ransomware in the healthcare sector and emphasizes the importance of cyber hygiene, but does not describe a confirmed breach or operational disruption at a named healthcare entity.","Charlee Hess, Director of the Healthcare and Public Health Cybersecurity Division at HHS ASPR, discussed the critical threat of ransomware in the healthcare sector, which is rich in valuable personal health data. Hess emphasized the importance of cyb"
2026-05-12 20:49,CyberScoop,HHS burrows into identifying risks to health sector from third-party vendors,https://cyberscoop.com/hhs-burrows-into-identifying-risks-to-health-sector-from-third-party-vendors/,"The Department of Health and Human Services is focusing on the security of third-party service providers after a major cyberattack at Change Healthcare, which exposed data from 190 million people.","A Department of Health and Human Services official said Thursday that HHS is devoting a lot of attention to the security of third-party service providers after the 2024 Change Healthcare cyberattack. That attack, which is widely regarded as the bigge"
2026-05-12 20:49,CyberScoop,Your AI doctor doesn’t have to follow the same privacy rules as your real one,https://cyberscoop.com/ai-healthcare-apps-hipaa-privacy-risks-openai-anthropic/,"Tech companies like OpenAI, Anthropic, and Google are expanding into healthcare with AI-powered health offerings, but their security and privacy protections for sensitive medical information are unclear and may not meet HIPAA standards.","AI apps are making their way into healthcare. It’s not clear that rigorous data security or privacy practices will be part of the package. OpenAI, Anthropic and Google have all rolled out AI-powered health offerings from over the past year. These pro"
2026-05-12 20:49,CyberScoop,Bipartisan health care cybersecurity legislation returns to address a cornucopia of issues,https://cyberscoop.com/bipartisan-health-care-cybersecurity-legislation-returns-to-address-a-cornucopia-of-issues/,"The article discusses a proposed bipartisan bill to address healthcare cybersecurity, but it does not describe an actual confirmed breach or disruption at a named healthcare entity.","A bipartisan group of senators are looking to tackle health care cybersecurity by reviving legislation that would update regulations and guidelines, authorize grants, offer training and clarify federal agency roles. It’s a subset of cybersecurity whe"
2026-05-12 20:49,CyberScoop,"Trump bill will have major impact on health care cybersecurity, experts warn Congress",https://cyberscoop.com/health-care-cybersecurity-big-beautiful-bill-cuts-congress/,"The Trump bill will have a devastating impact on cybersecurity and basic services in the healthcare sector, with cuts to Medicaid and other programs expected to put pressure on rural hospitals. The hearing witnesses warned that the Republican-passed law will exacerbate digital threats and force hospitals to reprioritize spending away from long-term investments like cybersecurity.","At the outset of a Senate hearing Wednesday on cybersecurity in the health care sector, Sen. Bill Cassidy, R-La., took a moment to implore lawmakers and witnesses to stay focused on the topic at hand — and not veer off into discussions about the impa"
2026-05-12 20:49,CyberScoop,Ransomware poseurs are trying to extort businesses through physical letters,https://cyberscoop.com/physical-mail-extortion-letters-target-executives/,"Health care executives are the most heavily targeted recipients of these letters, with each receiving extortion demands of $350,000 according to Arctic Wolf.","The FBI and threat researchers are warning executives to be on the lookout for physical letters in the mail threatening to leak sensitive corporate data. The letters, which are stamped “time sensitive read immediately” and shipped directly to executi"
2026-05-12 20:49,CyberScoop,"14,000 medical devices are online, unsecured and vulnerable",https://cyberscoop.com/medical-devices-online-health-censys/,"14,000 medical devices are online, unsecured and vulnerable; many belong to U.S. businesses, with potential for cybercriminals to exploit them.","Of the more than 14,000 IPs of exposed and vulnerable medical devices, health care login portals, and databases throughout the world, nearly half are found in the U.S., according to a report released Thursday. Censys — a search platform that can iden"
